code,name,name_en,full_name,full_name_en,code_name,province_code,administrative_unit_id
01969,Phủ Thông,Phu Thong,Xã Phủ Thông,Phu Thong Commune,phu_thong,19,10
01981,Vĩnh Thông,Vinh Thong,Xã Vĩnh Thông,Vinh Thong Commune,vinh_thong,19,10
02008,Cẩm Giàng,Cam Giang,Xã Cẩm Giàng,Cam Giang Commune,cam_giang,19,10
02014,Bạch Thông,Bach Thong,Xã Bạch Thông,Bach Thong Commune,bach_thong,19,10
02020,Chợ Đồn,Cho on,Xã Chợ Đồn,Cho on Commune,cho_on,19,10
02026,Nam Cường,Nam Cuong,Xã Nam Cường,Nam Cuong Commune,nam_cuong,19,10
02038,Quảng Bạch,Quang Bach,Xã Quảng Bạch,Quang Bach Commune,quang_bach,19,10
02044,Yên Thịnh,Yen Thinh,Xã Yên Thịnh,Yen Thinh Commune,yen_thinh,19,10
02071,Nghĩa Tá,Nghia Ta,Xã Nghĩa Tá,Nghia Ta Commune,nghia_ta,19,10
02083,Yên Phong,Yen Phong,Xã Yên Phong,Yen Phong Commune,yen_phong,19,10
02086,Chợ Mới,Cho Moi,Xã Chợ Mới,Cho Moi Commune,cho_moi,19,10
02101,Thanh Mai,Thanh Mai,Xã Thanh Mai,Thanh Mai Commune,thanh_mai,19,10
02104,Tân Kỳ,Tan Ky,Xã Tân Kỳ,Tan Ky Commune,tan_ky,19,10
02107,Thanh Thịnh,Thanh Thinh,Xã Thanh Thịnh,Thanh Thinh Commune,thanh_thinh,19,10
02116,Yên Bình,Yen Binh,Xã Yên Bình,Yen Binh Commune,yen_binh,19,10
02143,Văn Lang,Van Lang,Xã Văn Lang,Van Lang Commune,van_lang,19,10
02152,Cường Lợi,Cuong Loi,Xã Cường Lợi,Cuong Loi Commune,cuong_loi,19,10
02155,Na Rì,Na Ri,Xã Na Rì,Na Ri Commune,na_ri,19,10
02176,Trần Phú,Tran Phu,Xã Trần Phú,Tran Phu Commune,tran_phu,19,10
02185,Côn Minh,Con Minh,Xã Côn Minh,Con Minh Commune,con_minh,19,10
02191,Xuân Dương,Xuan Duong,Xã Xuân Dương,Xuan Duong Commune,xuan_duong,19,10
02212,Nông Tiến,Nong Tien,Phường Nông Tiến,Nong Tien Ward,nong_tien,08,8
02215,Minh Xuân,Minh Xuan,Phường Minh Xuân,Minh Xuan Ward,minh_xuan,08,8
02221,Nà Hang,Na Hang,Xã Nà Hang,Na Hang Commune,na_hang,08,10
02239,Thượng Nông,Thuong Nong,Xã Thượng Nông,Thuong Nong Commune,thuong_nong,08,10
02245,Côn Lôn,Con Lon,Xã Côn Lôn,Con Lon Commune,con_lon,08,10
02248,Yên Hoa,Yen Hoa,Xã Yên Hoa,Yen Hoa Commune,yen_hoa,08,10
02260,Hồng Thái,Hong Thai,Xã Hồng Thái,Hong Thai Commune,hong_thai,08,10
02266,Lâm Bình,Lam Binh,Xã Lâm Bình,Lam Binh Commune,lam_binh,08,10
02269,Thượng Lâm,Thuong Lam,Xã Thượng Lâm,Thuong Lam Commune,thuong_lam,08,10
02287,Chiêm Hoá,Chiem Hoa,Xã Chiêm Hoá,Chiem Hoa Commune,chiem_hoa,08,10
02296,Bình An,Binh An,Xã Bình An,Binh An Commune,binh_an,08,10
